session_id,date,hub_id,vehicle_id,duration_minutes,kwh_delivered,platform_logged,asset_monitor_flag,cost_gbp
CH000001,2026-02-01,H024C,V0394,128,38.31,1,1,13.03
CH000002,2026-02-01,H019C,V0276,95,13.77,1,1,4.68
CH000003,2026-02-01,H020C,V0122,179,38.57,1,1,13.11
CH000004,2026-02-01,H020C,V0254,26,19.42,1,1,6.6
CH000005,2026-02-01,H024C,V0166,71,46.66,1,1,15.86
CH000006,2026-02-01,H016C,V0221,16,52.97,1,1,18.01
CH000007,2026-02-01,H023C,V0209,100,21.02,1,1,7.15
CH000008,2026-02-01,H017C,V0245,87,19.0,1,1,6.46
CH000009,2026-02-01,H021C,V0072,150,54.54,1,1,18.54
CH000010,2026-02-01,H012C,V0111,73,39.45,1,1,13.41
CH000011,2026-02-01,H030C,V0113,213,31.32,1,1,10.65
CH000012,2026-02-01,H034C,V0146,223,6.94,1,1,2.36
CH000013,2026-02-01,H010C,V0008,17,42.8,1,1,14.55
CH000014,2026-02-01,H017C,V0165,197,1.1,1,0,0.37
CH000015,2026-02-01,H032C,V0065,43,51.2,1,1,17.41
CH000016,2026-02-01,H018C,V0002,25,16.88,1,1,5.74
CH000017,2026-02-01,H021C,V0242,65,13.39,1,1,4.55
CH000018,2026-02-01,H011C,V0236,54,11.01,1,1,3.74
CH000019,2026-02-01,H021C,V0125,191,53.75,1,1,18.28
CH000020,2026-02-01,H020C,V0222,24,34.05,1,1,11.58
CH000021,2026-02-01,H018C,V0356,125,14.64,1,1,4.98
CH000022,2026-02-01,H010C,V0066,129,41.79,1,1,14.21
CH000023,2026-02-01,H033C,V0024,23,12.32,1,1,4.19
CH000024,2026-02-01,H021C,V0319,191,7.55,1,1,2.57
CH000025,2026-02-01,H011C,V0311,156,4.76,1,1,1.62
CH000026,2026-02-01,H023C,V0364,171,26.33,1,1,8.95
CH000027,2026-02-01,H021C,V0292,225,36.5,1,1,12.41
CH000028,2026-02-01,H024C,V0081,216,23.21,1,1,7.89
CH000029,2026-02-01,H031C,V0392,120,36.74,1,1,12.49
CH000030,2026-02-01,H014C,V0306,21,35.39,1,1,12.03
CH000031,2026-02-01,H018C,V0288,193,34.7,1,1,11.8
CH000032,2026-02-01,H003C,V0254,124,8.31,1,1,2.83
CH000033,2026-02-01,H023C,V0244,42,42.8,1,1,14.55
CH000034,2026-02-01,H013C,V0105,34,18.82,1,1,6.4
CH000035,2026-02-01,H033C,V0364,39,39.25,1,1,13.35
CH000036,2026-02-01,H016C,V0358,39,22.33,1,1,7.59
CH000037,2026-02-01,H011C,V0035,167,22.61,1,1,7.69
CH000038,2026-02-01,H011C,V0239,180,27.37,1,1,9.31
CH000039,2026-02-01,H010C,V0118,173,7.34,1,1,2.5
CH000040,2026-02-01,H021C,V0360,30,59.31,1,1,20.17
CH000041,2026-02-01,H033C,V0148,239,43.58,1,1,14.82
CH000042,2026-02-01,H003C,V0083,88,10.57,1,1,3.59
CH000043,2026-02-01,H011C,V0328,185,45.43,1,1,15.45
CH000044,2026-02-01,H013C,V0115,116,4.88,1,1,1.66
CH000045,2026-02-01,H024C,V0189,71,26.94,1,1,9.16
CH000046,2026-02-01,H028C,V0356,223,11.01,1,1,3.74
CH000047,2026-02-01,H034C,V0389,76,42.2,1,1,14.35
CH000048,2026-02-01,H034C,V0275,168,17.01,1,1,5.78
CH000049,2026-02-01,H035C,V0285,123,32.79,1,1,11.15
CH000050,2026-02-01,H003C,V0113,104,9.59,1,1,3.26
CH000051,2026-02-01,H019C,V0200,30,41.45,1,1,14.09
CH000052,2026-02-01,H035C,V0236,222,0.64,1,0,0.22
CH000053,2026-02-01,H023C,V0356,75,54.19,1,1,18.42
CH000054,2026-02-01,H011C,V0148,209,12.47,1,1,4.24
CH000055,2026-02-01,H010C,V0358,203,9.84,1,1,3.35
CH000056,2026-02-01,H026C,V0115,214,58.08,1,1,19.75
CH000057,2026-02-01,H034C,V0269,70,56.94,1,1,19.36
CH000058,2026-02-01,H006C,V0188,133,4.9,1,1,1.67
CH000059,2026-02-01,H003C,V0089,164,38.15,1,1,12.97
CH000060,2026-02-01,H014C,V0267,89,4.48,1,1,1.52
CH000061,2026-02-01,H031C,V0221,221,16.24,1,1,5.52
CH000062,2026-02-01,H011C,V0045,210,35.01,1,1,11.9
CH000063,2026-02-01,H017C,V0185,130,1.56,1,0,0.53
CH000064,2026-02-01,H028C,V0279,194,0.27,1,0,0.09
CH000065,2026-02-01,H011C,V0322,213,29.14,1,1,9.91
CH000066,2026-02-01,H014C,V0085,123,47.39,1,1,16.11
CH000067,2026-02-01,H023C,V0264,196,32.83,1,1,11.16
