journey_id,date,service_type,zone_id,vehicle_id,driver_id,customer_id,scheduled_minutes,actual_minutes,delay_minutes,manual_override,status,revenue_gbp,cost_gbp
J000001,2026-02-01,Shuttle,Z023,V0122,D0084,C01444,73,74,1,0,Late,71.61,80.06
J000002,2026-02-01,WarehouseDispatch,Z001,V0048,D0147,C00960,49,50,1,0,Completed,160.21,137.58
J000003,2026-02-01,Shuttle,Z004,V0390,D0035,C01307,70,73,3,0,Completed,16.36,13.17
J000004,2026-02-01,LastMileDelivery,Z024,V0009,D0177,C01880,25,27,2,0,Completed,30.87,23.93
J000005,2026-02-01,WarehouseDispatch,Z036,V0007,D0012,C01413,66,80,14,0,Completed,148.3,94.12
J000006,2026-02-01,LastMileDelivery,Z028,V0395,D0250,C01441,63,63,0,0,Late,84.27,81.78
J000007,2026-02-01,LastMileDelivery,Z005,V0261,D0138,C01561,24,24,0,0,Completed,61.64,42.55
J000008,2026-02-01,WarehouseDispatch,Z027,V0115,D0040,C00253,49,54,5,0,Completed,316.77,355.19
J000009,2026-02-01,LastMileDelivery,Z009,V0213,D0116,C00772,78,78,0,0,Completed,72.53,55.7
J000010,2026-02-01,Shuttle,Z008,V0012,D0191,C00611,51,61,10,0,Completed,56.56,38.69
J000011,2026-02-01,LastMileDelivery,Z016,V0320,D0228,C00714,22,27,5,0,Completed,87.58,76.61
J000012,2026-02-01,CharterRoute,Z031,V0075,D0112,C01481,40,47,7,0,Completed,59.63,42.93
J000013,2026-02-01,Shuttle,Z029,V0018,D0239,C01710,88,88,0,0,Completed,73.71,63.8
J000014,2026-02-01,LastMileDelivery,Z020,V0199,D0045,C00973,35,46,11,0,Completed,38.16,34.59
J000015,2026-02-01,CharterRoute,Z011,V0196,D0172,C01435,53,56,3,0,Late,44.11,41.52
J000016,2026-02-01,Shuttle,Z036,V0386,D0015,C00117,28,38,10,0,Failed,30.74,30.95
J000017,2026-02-01,WarehouseDispatch,Z028,V0319,D0074,C00235,49,49,0,0,Late,126.58,85.26
J000018,2026-02-01,Shuttle,Z029,V0178,D0159,C00143,61,72,11,0,Completed,67.9,58.33
J000019,2026-02-01,WarehouseDispatch,Z036,V0346,D0090,C01519,53,59,6,0,Completed,177.98,169.09
J000020,2026-02-01,Shuttle,Z002,V0362,D0167,C01379,34,42,8,1,Failed,35.13,20.48
J000021,2026-02-01,CharterRoute,Z014,V0099,D0240,C00883,64,66,2,0,Completed,38.11,25.22
J000022,2026-02-01,WarehouseDispatch,Z027,V0306,D0014,C00197,62,62,0,0,Completed,88.18,61.48
J000023,2026-02-01,Shuttle,Z028,V0204,D0249,C01854,70,78,8,0,Late,9.79,9.26
J000024,2026-02-01,WarehouseDispatch,Z010,V0213,D0232,C00917,75,75,0,0,Completed,299.18,256.18
J000025,2026-02-01,LastMileDelivery,Z013,V0323,D0199,C01552,66,66,0,0,Completed,8.03,6.29
J000026,2026-02-01,Shuttle,Z020,V0248,D0172,C00814,25,27,2,0,Completed,55.92,56.72
J000027,2026-02-01,Shuttle,Z023,V0004,D0133,C01916,88,88,0,0,Completed,17.41,16.06
J000028,2026-02-01,CharterRoute,Z026,V0277,D0116,C00375,33,38,5,0,Completed,50.87,56.65
J000029,2026-02-01,CharterRoute,Z005,V0095,D0171,C01849,88,88,0,0,Completed,64.6,73.08
J000030,2026-02-01,CharterRoute,Z001,V0382,D0066,C01766,32,33,1,0,Completed,66.64,56.03
J000031,2026-02-01,WarehouseDispatch,Z003,V0271,D0080,C01030,56,56,0,0,Completed,66.54,55.91
J000032,2026-02-01,Shuttle,Z014,V0146,D0176,C00055,38,42,4,0,Completed,21.01,21.67
J000033,2026-02-01,WarehouseDispatch,Z036,V0089,D0001,C01255,26,36,10,0,Failed,280.67,174.85
J000034,2026-02-01,Shuttle,Z026,V0178,D0022,C01822,87,88,1,0,Completed,37.02,23.86
J000035,2026-02-01,CharterRoute,Z015,V0396,D0055,C00071,31,39,8,1,Completed,64.5,59.38
J000036,2026-02-01,WarehouseDispatch,Z022,V0220,D0110,C01408,69,69,0,0,Completed,313.27,262.95
J000037,2026-02-01,LastMileDelivery,Z021,V0100,D0088,C00636,62,62,0,0,Late,37.24,22.72
J000038,2026-02-01,LastMileDelivery,Z017,V0142,D0063,C01811,59,64,5,1,Late,91.64,63.39
J000039,2026-02-01,Shuttle,Z008,V0165,D0164,C00730,85,85,0,0,Completed,64.3,42.03
