maintenance_id,date_logged,vehicle_id,fault_type,severity,days_from_first_signal_to_detection,downtime_hours,cost_gbp
M00001,2026-02-01,V0191,BrakeIssue,Low,3,3,219
M00002,2026-02-01,V0148,SensorMalfunction,Low,10,4,345
M00003,2026-02-01,V0256,BrakeIssue,Medium,9,8,712
M00004,2026-02-01,V0119,BrakeIssue,High,4,26,1257
M00005,2026-02-01,V0077,TyreWear,Medium,5,8,711
M00006,2026-02-01,V0371,EngineFault,High,4,28,1363
M00007,2026-02-01,V0204,TyreWear,Low,8,3,191
M00008,2026-02-01,V0272,TyreWear,Low,10,7,308
M00009,2026-02-01,V0192,BrakeIssue,Medium,7,8,549
M00010,2026-02-01,V0369,TyreWear,Critical,6,77,3876
M00011,2026-02-01,V0079,BrakeIssue,Low,7,6,183
M00012,2026-02-01,V0072,SensorMalfunction,Medium,7,12,516
M00013,2026-02-01,V0362,TyreWear,High,3,24,1425
M00014,2026-02-01,V0004,EngineFault,Low,6,5,132
M00015,2026-02-01,V0270,BodyDamage,High,1,29,1389
M00016,2026-02-01,V0324,BrakeIssue,Medium,5,10,463
M00017,2026-02-01,V0230,BodyDamage,Medium,7,10,365
M00018,2026-02-01,V0373,BrakeIssue,Medium,7,10,599
M00019,2026-02-01,V0010,BodyDamage,High,4,28,1310
M00020,2026-02-01,V0306,BodyDamage,Low,7,4,114
M00021,2026-02-01,V0233,TyreWear,Low,5,5,476
M00022,2026-02-01,V0291,EngineFault,Critical,1,75,3685
M00023,2026-02-01,V0048,BatteryDegradation,High,3,24,1328
M00024,2026-02-01,V0339,TyreWear,Low,11,7,103
M00025,2026-02-01,V0122,BodyDamage,Low,3,5,273
M00026,2026-02-01,V0217,BodyDamage,Medium,6,10,577
M00027,2026-02-01,V0044,BatteryDegradation,Medium,7,9,737
M00028,2026-02-02,V0315,BatteryDegradation,High,4,26,1470
M00029,2026-02-02,V0095,BodyDamage,Medium,7,9,459
M00030,2026-02-02,V0290,SensorMalfunction,Medium,6,12,357
M00031,2026-02-02,V0249,BatteryDegradation,Low,9,7,252
M00032,2026-02-02,V0064,BatteryDegradation,Medium,6,10,544
M00033,2026-02-02,V0082,BatteryDegradation,Low,7,7,387
M00034,2026-02-02,V0082,BodyDamage,Medium,8,13,744
M00035,2026-02-02,V0018,BatteryDegradation,High,3,26,1332
M00036,2026-02-02,V0387,SensorMalfunction,Critical,2,73,3739
M00037,2026-02-02,V0004,TyreWear,Low,6,2,146
M00038,2026-02-02,V0308,BrakeIssue,Low,10,3,308
M00039,2026-02-02,V0088,EngineFault,Low,6,4,304
M00040,2026-02-02,V0090,TyreWear,Medium,3,10,618
M00041,2026-02-02,V0343,BatteryDegradation,High,3,24,1266
M00042,2026-02-02,V0019,BrakeIssue,Low,7,3,404
M00043,2026-02-02,V0315,SensorMalfunction,High,6,28,1267
M00044,2026-02-02,V0336,SensorMalfunction,Critical,1,72,3627
M00045,2026-02-03,V0022,BatteryDegradation,Medium,8,10,454
M00046,2026-02-03,V0366,BatteryDegradation,High,4,24,1354
M00047,2026-02-03,V0078,TyreWear,Medium,6,11,417
M00048,2026-02-03,V0156,SensorMalfunction,High,4,28,1326
M00049,2026-02-03,V0180,BrakeIssue,Critical,5,77,3655
M00050,2026-02-03,V0194,BrakeIssue,Low,5,5,214
M00051,2026-02-03,V0155,BodyDamage,Medium,9,13,629
M00052,2026-02-03,V0362,TyreWear,High,0,27,1596
M00053,2026-02-03,V0320,BrakeIssue,Low,9,4,301
M00054,2026-02-03,V0038,BatteryDegradation,Low,8,2,276
M00055,2026-02-03,V0283,EngineFault,Critical,3,73,3644
M00056,2026-02-03,V0394,BatteryDegradation,High,2,26,1363
M00057,2026-02-03,V0275,BatteryDegradation,Low,5,2,384
M00058,2026-02-03,V0300,EngineFault,Critical,4,77,3609
M00059,2026-02-03,V0227,BrakeIssue,Medium,8,8,502
M00060,2026-02-03,V0171,BatteryDegradation,Low,8,4,112
M00061,2026-02-03,V0083,TyreWear,Low,7,7,467
M00062,2026-02-03,V0183,SensorMalfunction,Medium,7,13,484
M00063,2026-02-03,V0106,TyreWear,Low,11,6,219
M00064,2026-02-04,V0311,BodyDamage,Low,9,2,294
M00065,2026-02-04,V0340,BrakeIssue,Medium,10,11,536
M00066,2026-02-04,V0133,EngineFault,Medium,10,12,389
M00067,2026-02-04,V0255,TyreWear,Medium,5,13,721
M00068,2026-02-04,V0127,BodyDamage,Medium,6,11,527
